source_center,destination_center,avg_actual_time,avg_osrm_time,trip_count,delay_ratio
IND000000ACB,IND125005AAA,146.5,80.92857142857143,28,1.8102383053839364
IND000000ACB,IND125033AAA,153.0,71.16666666666667,12,2.1498829039812644
IND000000ACB,IND127021AAA,126.9,66.2,10,1.9169184290030212
IND000000ACB,IND131028AAB,114.08502024291498,61.449392712550605,741,1.8565687178811439
IND000000ACB,IND160002AAC,234.77591463414635,113.49085365853658,656,2.0686769644056415
IND000000ACB,IND201001AAC,77.77777777777777,49.166666666666664,36,1.5819209039548021
IND000000ACB,IND201007AAA,78.58730158730158,50.95238095238095,63,1.5423676012461058
IND000000ACB,IND201301AAF,74.35483870967742,51.12903225806452,62,1.4542586750788644
IND000000ACB,IND201301AAM,118.95065789473684,53.45065789473684,304,2.2254292571850574
IND000000ACB,IND209304AAA,399.3382899628253,169.50557620817844,269,2.3559006074961073
IND000000ACB,IND282002AAD,163.55555555555554,79.91666666666667,72,2.046576294751477
IND000000ACB,IND301001AAB,95.58333333333333,76.375,24,1.2515002727768685
IND000000ACB,IND302014AAA,186.88518518518518,92.15555555555555,270,2.027931838276666
IND000000ACB,IND302022AAD,165.6888888888889,92.16666666666667,180,1.7977094635322484
IND000000ACB,IND328001AAA,210.94,122.26,50,1.7253394405365614
IND000000ACB,IND382430AAB,646.0628366247756,343.6517055655296,557,1.8799931039526891
IND000000ACB,IND390022AAA,680.0883116883117,376.13766233766233,385,1.8080835284125045
IND000000ACB,IND411033AAA,932.1508928571428,540.9732142857143,1120,1.723099902622588
IND000000ACB,IND421302AAG,970.6283240568955,505.3494124922696,1617,1.9207073364743317
IND000000ACB,IND462022AAA,552.67903930131,315.59170305676855,458,1.751247051009748
IND000000ACB,IND474003AAA,433.9230769230769,157.76923076923077,13,2.7503656752803507
IND000000ACB,IND501359AAE,1112.077486272117,592.3361805979256,1639,1.877443118786946
IND000000ACB,IND521225AAB,1284.6224489795918,663.2419825072886,686,1.9368834948042128
IND000000ACB,IND562132AAA,1367.2122186495176,786.8346061093248,4976,1.737610684677427
IND000000ACB,IND600056AAB,1457.1201970443349,814.679802955665,1015,1.7885802394485428
IND000000ACB,IND712311AAA,1128.8930817610062,512.9143955276031,2862,2.2009385807933586
IND000000ACB,IND751002AAB,1240.981242672919,635.5216881594373,853,1.9526969193875667
IND000000ACB,IND821115AAB,685.0631578947368,326.41203007518794,665,2.0987681052592784
IND000000ACB,IND834002AAB,865.679012345679,446.8875171467764,729,1.9371295440802256
IND000000ACB,IND842001AAA,749.1430555555555,387.8152777777778,720,1.9317007309465057
IND000000ACK,IND501359AAF,48.180851063829785,16.75531914893617,94,2.875555555555555
IND000000ACN,IND501359AAF,42.15625,13.75,32,3.065909090909091
IND000000ACT,IND000000ACB,50.84076433121019,30.404458598726116,314,1.6721483188436157
